year,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
2023,permits units SA,2352,196,12,101291.39099935583,101186.7205818023,-48.047347941726,2.401548495987767,10.245129119361685,16.729908385048752,58.46656978468748,102091.01222038596,202434.25,202502.0,202503.0,202503.0,202503.0,0,0
2023,employment thousands SA,2352,196,12,148.06479591836737,167.8781921864275,21.6,26.026000000000003,36.9,43.8,56.875,84.15,175.47500000000002,338.69,439.26999999999987,968.9059999999238,1197.6,0,0
2024,ZHVI all-homes SA,2352,196,12,307841.7317216187,131631.96318025826,109733.96383934107,130342.00039334157,159088.5277752268,177038.88070199348,216831.39060253312,275492.60318308906,364953.23237262364,471501.1938750187,567943.2983688088,805634.6627139279,870147.8044027388,0,0
2024,permits units SA,2352,196,12,101315.15966086154,101212.95047011196,-30.4948909986356,2.3656653664070877,10.366672089126634,17.33346728811155,58.4661789762548,102448.27666513174,202506.25,202508.0,202509.0,202509.0,202509.0,0,0
2024,employment thousands SA,2352,196,12,149.85425170068027,170.2886621193512,21.7,25.979000000000006,37.4,44.309999999999995,58.0,85.5,177.84999999999997,339.59000000000003,448.11999999999966,980.8659999999229,1203.9,0,0
2025,ZHVI all-homes SA,2352,196,12,314008.5354104281,130859.74279489716,115719.70292590368,131675.15542374962,166589.45250674762,184473.5511651782,221112.61164081356,282995.9414868196,370994.8864222096,473990.2577509698,576258.5944355001,804949.08145502,870668.4947126737,0,0
2025,permits units SA,2352,196,12,101341.68663530308,101236.4309767049,-15.2969973950665,1.8143698461099342,9.54814240425396,17.434857463045297,59.7206555876984,101918.35752620293,202534.25,202602.0,202603.0,202603.0,202603.0,0,0
2025,employment thousands SA,2352,196,12,150.53027210884355,171.4277185089137,21.7,26.232000000000006,36.955,43.910000000000004,58.2,86.1,179.8,338.48,453.6249999999999,993.1019999999171,1208.0,0,0
2026,ZHVI all-homes SA,1176,196,6,318517.19065799605,129587.75534777668,117883.96168601351,139112.3484022409,170644.1273170265,193101.24015214993,226411.03312398246,285344.36668360606,377508.10422205,475441.9503582837,580527.8515561679,792433.5957647328,859689.5342688886,0,0
2026,permits units SA,1176,196,6,101368.29241575349,101279.87501741778,-0.887615493407228,3.480442279944705,10.605493498733825,19.31572903214915,59.595718867542175,102332.27526311467,202605.0,202606.0,202606.0,202606.0,202606.0,0,0
2026,employment thousands SA,1176,196,6,150.67551020408163,171.4866805191708,21.7,26.825000000000003,36.775,43.75,58.4,86.44999999999999,179.97500000000002,337.25,457.075,901.375,1209.7,0,0
