scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
final_only:pareto_43_201105_181m_174n,permits units SA,31494,174,181,101737.67329952748,101049.23680074586,-90.125404575521,-0.05785037991833011,6.411496178989444,14.333859986285162,58.26073558638885,201812.0,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_43_201105_181m_174n,employment thousands SA,31494,174,181,148.96407569695813,164.67185495720267,19.2,30.8,38.6,46.89999999999999,58.5,88.4,173.6,329.2,430.03499999999985,1030.707,1221.9,0,0
final_only:pareto_44_201201_173m_175n,ZHVI all-homes SA,30275,175,173,223950.70188669165,112340.67824376715,49348.99715611694,82959.50184683829,105156.67549641397,119982.3692730774,147048.60441247755,195092.44745726453,266747.6410869527,369725.08590159717,446859.0936320204,618542.7561034724,870668.4947126737,0,0
final_only:pareto_44_201201_173m_175n,permits units SA,30275,175,173,101771.95042477998,101056.7699386291,-90.125404575521,-0.03992045982185744,6.537679191791103,14.36234244514834,58.48264922169715,201904.0,202211.0,202501.0,202510.0,202605.0,202606.0,0,0
final_only:pareto_44_201201_173m_175n,employment thousands SA,30275,175,173,149.0302725020644,164.92007550605666,19.2,30.800000000000004,38.7,47.0,58.650000000000006,88.1,173.6,329.9,430.3299999999999,1033.2159999999974,1221.9,0,0
final_only:pareto_45_201202_172m_176n,ZHVI all-homes SA,30272,176,172,224515.0269727895,112285.31972757803,49858.91078157383,83262.33421042791,105362.68564966551,120430.76183417997,147439.33468564728,195747.92280046386,267618.6701434411,369949.24857508665,446861.90343511384,618549.2747614147,870668.4947126737,0,0
final_only:pareto_45_201202_172m_176n,permits units SA,30272,176,172,101189.49262991417,101060.72955459227,-90.125404575521,-0.039937564247819246,6.519534417814654,14.261181541104024,57.168701915877975,102600.97608268443,202211.25,202501.0,202510.0,202605.0,202606.0,0,0
final_only:pareto_45_201202_172m_176n,employment thousands SA,30272,176,172,148.55764733086679,164.6786426981188,19.2,30.9,38.8,47.1,58.5,87.6,173.1,329.09000000000015,430.0,1032.4450000000004,1221.9,0,0
final_only:pareto_46_201206_168m_177n,ZHVI all-homes SA,29736,177,168,225982.89590458764,112549.57013655629,53935.16819948612,83871.56613701643,106134.92382445677,121716.9357173919,148881.20920014838,197078.1131555121,269422.9977870568,372334.10094051994,448537.42308175017,619903.6356215286,870668.4947126737,0,0
final_only:pareto_46_201206_168m_177n,permits units SA,29736,177,168,101193.59668889258,101064.81448769325,-90.125404575521,0.016144085487779194,6.717748320175895,14.493343539329949,56.9525931968098,102601.97608268443,202234.25,202502.0,202510.0,202605.0,202606.0,0,0
final_only:pareto_46_201206_168m_177n,employment thousands SA,29736,177,168,148.33366626311542,164.62351032859033,19.2,30.935000000000002,38.8,47.1,58.6,87.2,172.82500000000002,329.0,429.85,1033.8400000000024,1221.9,0,0
final_only:pareto_47_201209_165m_178n,ZHVI all-homes SA,29370,178,165,227022.33665407728,112726.11737464083,55844.545029282446,84815.90826264527,106941.91012755301,122684.22573175377,149798.8629236851,198170.0550190393,270993.96933321,374036.28422878595,449794.8756852636,620635.5169293355,870668.4947126737,0,0
final_only:pareto_47_201209_165m_178n,permits units SA,29370,178,165,101808.26187371452,101065.0381591969,-90.125404575521,0.06313422269189277,6.698089555304479,14.470165179796592,57.390052202604025,201908.0,202301.0,202502.0,202510.0,202605.0,202606.0,0,0
final_only:pareto_47_201209_165m_178n,employment thousands SA,29370,178,165,147.94498127340822,164.56453763513142,19.2,31.168999999999997,38.9,46.7,58.5,86.95,172.575,328.5,429.6549999999999,1035.1750000000034,1221.9,0,0
final_only:pareto_48_201401_149m_189n,ZHVI all-homes SA,28161,189,149,236520.4428298146,118458.62512666071,67804.82631024103,89361.62987473983,110512.15219079035,127523.10790271305,156235.41779573724,206152.55133962896,280663.6426400685,389625.4941134469,469574.26115358033,678411.4478646868,893691.3277472038,0,0
final_only:pareto_48_201401_149m_189n,permits units SA,28161,189,149,101890.08944958827,101082.46607519017,-90.125404575521,0.3968144402887075,7.40561940340936,14.7142011510973,56.8380279294948,202004.0,202305.0,202504.0,202511.0,202605.0,202606.0,0,0
final_only:pareto_48_201401_149m_189n,employment thousands SA,28161,189,149,145.15309115443344,164.07753790101253,19.2,27.8,37.2,43.0,56.6,83.7,170.8,330.5,435.3,1031.2800000000016,1221.9,0,0
final_only:pareto_49_201404_146m_190n,ZHVI all-homes SA,27740,190,146,238019.7598986594,118608.22409702837,69308.24910349563,90399.5565984169,111609.52844647468,128518.77676018074,157613.493200409,207548.44784782664,282694.35588916217,391240.81090274255,471104.05266197305,679704.4557409813,893691.3277472038,0,0
final_only:pareto_49_201404_146m_190n,permits units SA,27740,190,146,101215.69164807728,101088.70036905016,-90.125404575521,0.5709465956982435,7.568533266848263,14.85003723771177,55.953658960744,102651.47608268443,202306.0,202504.0,202511.0,202605.0,202606.0,0,0
final_only:pareto_49_201404_146m_190n,employment thousands SA,27740,190,146,144.8511139149243,163.9847744002628,19.2,27.839,37.2,43.1,56.475,83.5,170.6,329.5,435.0,1032.183,1221.9,0,0
final_only:pareto_50_201409_141m_191n,ZHVI all-homes SA,26931,191,141,240404.90842773864,119069.38039410987,73789.37512106508,91443.7353019488,112759.14934989021,130369.32124220034,159594.5524956841,209843.4135630124,284712.73084511317,393693.02501931443,473410.0306495436,683091.4115153558,893691.3277472038,0,0
final_only:pareto_50_201409_141m_191n,permits units SA,26931,191,141,101937.0890987514,101090.10125127064,-90.125404575521,0.8024676247215641,8.022021446759076,15.2955805756893,56.865650568847,202008.0,202307.0,202504.0,202511.0,202605.0,202606.0,0,0
final_only:pareto_50_201409_141m_191n,employment thousands SA,26931,191,141,144.6396346218113,164.02460438436103,19.2,27.9,37.2,43.2,56.2,83.2,170.5,328.7,434.75,1036.150000000002,1221.9,0,0
final_only:pareto_51_201601_125m_192n,ZHVI all-homes SA,24000,192,125,248827.51187766684,121353.40491710986,76816.6438767935,95483.28268239752,116228.89531452599,135551.28348727943,166138.52631582087,217978.19684530055,294154.69032347645,403737.5590802193,489122.47469237435,695090.1882786985,893691.3277472038,0,0
final_only:pareto_51_201601_125m_192n,permits units SA,24000,192,125,102045.8382129433,101106.58294510968,-78.5609617717921,0.9633082924588404,8.460696128777546,15.63202148714369,57.35968074817117,202104.0,202311.0,202506.0,202512.0,202605.0,202606.0,0,0
final_only:pareto_51_201601_125m_192n,employment thousands SA,24000,192,125,144.82365000000001,164.7796024712063,19.2,26.1,36.69500000000001,42.6,56.0,83.2,170.8,329.1,434.9,1059.705999999999,1221.9,0,0
final_only:pareto_52_201602_124m_194n,ZHVI all-homes SA,24056,194,124,249080.2808475851,120989.71967562215,76816.6438767935,95661.6946780356,116749.2208480539,136169.58091931662,166746.30596948546,218272.27891425882,293943.00792818813,403424.87952966546,488259.0595015412,694949.6896526642,893691.3277472038,0,0
final_only:pareto_52_201602_124m_194n,permits units SA,24056,194,124,101238.92482196557,101111.74411723024,-78.5609617717921,0.9681086377845962,8.467384496613812,15.64694157276095,57.380165442289325,102700.97608268443,202311.25,202506.0,202512.0,202605.0,202606.0,0,0
final_only:pareto_52_201602_124m_194n,employment thousands SA,24056,194,124,144.28404556035917,164.10163876963412,19.2,26.155,36.7,42.8,56.3,83.2,169.4,327.29999999999995,434.12500000000006,1057.8400000000024,1221.9,0,0
final_only:pareto_53_201801_101m_195n,ZHVI all-homes SA,19695,195,101,264251.25598052813,124119.87314314603,79317.3508097806,102992.36678161782,127490.19164836644,145972.94651030173,178835.9858388206,232125.99559815534,313888.05796793255,418675.90652821236,512717.83130419056,736062.2273335857,893691.3277472038,0,0
final_only:pareto_53_201801_101m_195n,permits units SA,19695,195,101,102262.4302751193,101131.2869695331,-78.5609617717921,2.466688512048641,9.683076065844759,16.9270170847861,58.7709322398384,202204.0,202405.0,202508.0,202601.0,202605.0,202606.0,0,0
final_only:pareto_53_201801_101m_195n,employment thousands SA,19695,195,101,144.7290124397055,164.9629924804426,19.2,25.6,36.7,42.8,56.05,83.1,169.6,329.06000000000023,434.8299999999999,1037.722000000018,1221.9,0,0
final_only:pareto_54_201904_86m_196n,ZHVI all-homes SA,16856,196,86,276021.8897979087,126161.96624889434,86255.88988322286,108736.66913260525,136969.00999047552,154387.24644941598,190676.78746535257,243227.62874026882,329938.9348099859,432958.7315638383,535818.1431322605,756677.9899602622,893691.3277472038,0,0
final_only:pareto_54_201904_86m_196n,permits units SA,16856,196,86,101277.23895003842,101155.34883685785,-78.5609617717921,2.353964982226964,9.495756131386251,16.65714611007575,56.83054115240438,102302.27666513174,202409.0,202510.0,202602.0,202606.0,202606.0,0,0
final_only:pareto_54_201904_86m_196n,employment thousands SA,16856,196,86,145.23936877076412,165.01993307586608,19.2,25.355,36.6,42.8,56.1,83.7,171.425,329.15,435.2,1014.9700000000208,1221.9,0,0
final_only:start_2004,ZHVI all-homes SA,26362,98,269,214089.2574070635,112361.21386943737,70773.62398823531,84152.93933502736,104302.99280865864,114470.5082837457,136556.93545145052,182286.51899350778,253649.1994206061,364382.5442777959,437737.92361791135,621199.6921209489,870668.4947126737,0,0
final_only:start_2004,permits units SA,26362,98,269,101469.58671556505,100951.53246525185,-90.125404575521,-0.08249754328184411,4.836337107983605,13.832824106052872,70.39495153131185,201504.0,202011.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:start_2004,employment thousands SA,26362,98,269,184.3425347090509,188.3728840413294,27.3,32.8,39.6,53.6,67.1,126.7,213.17499999999998,378.5,518.9949999999997,1158.9779999999998,1221.9,0,0
final_only:start_2005,ZHVI all-homes SA,27756,108,257,215822.4104043293,113336.82695754225,70773.62398823531,85734.6211410372,104853.5958510878,114538.30121155707,137396.3170020572,184302.12788953737,256127.72267334806,367424.58641486196,437736.2591405344,637985.3677953886,870668.4947126737,0,0
final_only:start_2005,permits units SA,27756,108,257,101499.52354497473,100963.99614876595,-90.125404575521,-0.10174986865077681,4.685387349461725,13.33742469956035,69.01223848575374,201510.0,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
final_only:start_2005,employment thousands SA,27756,108,257,179.825299034443,188.60635386691033,27.3,33.3,40.0,51.0,62.5,116.15,202.8,380.0,536.0,1144.5700000000004,1221.9,0,0
final_only:start_2010,ZHVI all-homes SA,33293,169,197,216628.03717685802,110384.21961668019,49348.99715611694,80209.83654630672,101835.00201467356,115986.82073417661,141769.41026444745,186669.32793160784,257987.9772565092,359005.5792363928,435921.7918007281,607951.2121733557,870668.4947126737,0,0
final_only:start_2010,permits units SA,33293,169,197,101675.40164005912,101032.24710683474,-90.125404575521,-0.1623223158045074,5.64981684921992,13.76243093075606,59.3405797120557,201804.0,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
final_only:start_2010,employment thousands SA,33293,169,197,150.68570570390173,164.99772910551437,19.2,30.5,39.2,47.60000000000001,59.1,89.5,175.5,332.0,431.63999999999976,1025.664000000006,1221.9,0,0
