scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
all_vintage:pareto_18_200608_239m_125n,permits units SA,29875,125,239,100704.97069029276,100984.33469312116,-90.125404575521,-0.11823282513988491,5.250649485441715,13.657796966847421,63.7072175171392,1387.48316697638,202107.0,202407.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_18_200608_239m_125n,employment thousands SA,29875,125,239,172.17995648535566,181.07482090510138,18.1,28.4,39.6,50.3,61.55,109.6,197.75,372.5,512.6,1112.5899999999976,1221.9,0,0
all_vintage:pareto_19_200609_238m_126n,ZHVI all-homes SA,29988,126,238,216918.9664420532,111808.06289223126,70773.62398823531,87846.78741620894,105516.2832069319,116244.91234178272,140070.31110181747,185261.04741444354,257501.15978624008,363682.2705940532,438802.01225792,624314.7714763297,870668.4947126737,0,0
all_vintage:pareto_19_200609_238m_126n,permits units SA,29988,126,238,101127.48300234064,100985.22367075854,-90.125404575521,-0.08224254024384532,5.4242698255581425,13.97558391970809,65.13834824325053,102452.47608268443,202107.0,202407.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_19_200609_238m_126n,employment thousands SA,29988,126,238,171.71662665066026,180.48095546702186,18.1,28.4,39.7,50.4,61.6,109.6,196.525,370.9299999999999,512.1299999999997,1110.4080000000017,1221.9,0,0
all_vintage:pareto_20_200611_236m_127n,ZHVI all-homes SA,29972,127,236,216671.57443980008,111636.26906705447,70773.62398823531,87866.9991762028,105551.67213613685,116422.35636838629,139963.38957122498,185010.01436680008,256755.22992466242,363297.75306306034,438432.6178325324,623931.2612748025,870668.4947126737,0,0
all_vintage:pareto_20_200611_236m_127n,permits units SA,29972,127,236,101130.07986136839,100986.88407553638,-90.125404575521,-0.06490259331003789,5.55840783706822,14.148175066596531,66.34468568180426,102452.97608268443,202107.25,202407.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_20_200611_236m_127n,employment thousands SA,29972,127,236,171.64609302015214,179.8570947088724,18.1,28.470999999999997,39.8,50.6,61.7,110.2,194.82500000000002,370.0,511.2,1109.6870000000001,1221.9,0,0
all_vintage:pareto_21_200707_228m_128n,ZHVI all-homes SA,29184,128,228,218518.63975735303,113208.2378469252,70773.62398823531,87743.2911025385,105705.54081929043,116677.6042011778,140902.81046685332,186308.71687248128,258689.39537836963,368689.55894126586,444528.123302166,623909.6724613105,870668.4947126737,0,0
all_vintage:pareto_21_200707_228m_128n,permits units SA,29184,128,228,101139.68874057985,100995.00633532087,-90.125404575521,-0.06205493586385205,5.830769172739583,14.465324432104001,68.16273871082811,102498.97608268443,202109.25,202408.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_21_200707_228m_128n,employment thousands SA,29184,128,228,170.99907140899123,179.70874383359006,18.4,28.482999999999997,39.8,50.7,61.6,109.7,193.8,369.4,509.69999999999993,1109.6509999999994,1221.9,0,0
all_vintage:pareto_22_200708_227m_129n,ZHVI all-homes SA,29283,129,227,218254.73694927996,113043.50808201946,70773.62398823531,87840.94564809845,105920.26937706501,116739.6827967132,140633.99395609874,186091.25101860077,258535.6762953571,367758.54810655897,444171.5781015467,623728.3675496157,870668.4947126737,0,0
all_vintage:pareto_22_200708_227m_129n,permits units SA,29283,129,227,100696.62367107417,100995.99034169447,-90.125404575521,-0.06078534579477095,5.864505587838116,14.51775906936762,68.30743296892985,1375.12536376639,202110.0,202408.0,202507.0,202604.0,202606.0,0,0
all_vintage:pareto_22_200708_227m_129n,employment thousands SA,29283,129,227,171.33716149301642,179.08703914486665,18.4,28.582,39.8,50.8,61.7,110.2,197.1,368.3,508.9899999999998,1108.7620000000002,1221.9,0,0
all_vintage:pareto_23_200712_223m_130n,ZHVI all-homes SA,28990,130,223,218418.50878613416,113088.221205512,70773.62398823531,87713.75103183878,106019.31105408502,116953.92509255826,141135.15107384676,186148.9202326585,258354.01133851035,368790.2277858808,444621.3051371806,623720.8360559042,870668.4947126737,0,0
all_vintage:pareto_23_200712_223m_130n,permits units SA,28990,130,223,100692.35254730491,101000.05922023591,-90.125404575521,-0.14505602815815824,5.331678352938663,14.082971319148601,67.5573841757314,1366.36067296635,202111.0,202408.0,202507.0,202604.0,202606.0,0,0
