date,median,n_available,p10,p25,p75,p90,variable
2015-11-01,160784.65378101318,192,110037.39209407243,133306.7566653441,205650.9182620314,251062.64976634827,ZHVI all-homes SA
2015-12-01,161426.77193234197,192,110772.969534841,133238.63713737196,206685.7476921115,252964.87928854735,ZHVI all-homes SA
2016-01-01,161889.29487153393,193,108908.70447068139,132928.51079423373,208313.2100989835,255079.24846004258,ZHVI all-homes SA
2016-02-01,162689.1964098706,195,109157.09423684332,133463.35965493554,207313.4145317024,256485.9336810939,ZHVI all-homes SA
2016-03-01,163453.93183136897,195,108327.93130275566,133682.3423856925,207012.50346325355,257227.93606325026,ZHVI all-homes SA
2016-04-01,164077.94280292606,195,108871.7957063984,133849.66099486104,206808.843440243,257951.0828853048,ZHVI all-homes SA
2016-05-01,164678.67404527095,195,109053.75929449778,134250.05670842127,207033.8814074345,258830.40765081963,ZHVI all-homes SA
2016-06-01,165109.99751408203,195,109234.28245153253,134675.85800402396,207981.61519398598,260345.4808934979,ZHVI all-homes SA
2016-07-01,165441.12263916948,195,109112.20295542636,134811.3954604509,208937.78090389835,261809.69349792277,ZHVI all-homes SA
2016-08-01,165827.28563288908,195,109263.99845605758,135133.09274358617,209801.96181858407,262462.3781969711,ZHVI all-homes SA
2016-09-01,165550.93626245446,195,109349.87080766156,135731.68247983226,210534.32041137991,263687.5336575721,ZHVI all-homes SA
2016-10-01,166303.6214430252,195,109388.85062727182,136092.6043669965,211218.8429369499,265356.36659445317,ZHVI all-homes SA
2016-11-01,167051.7967505752,195,108873.5058701126,136411.70704435778,211187.60627974127,267443.80751925166,ZHVI all-homes SA
2016-12-01,167827.40633113042,195,108940.1070667472,137063.0862051632,211244.77711349155,269565.19881295925,ZHVI all-homes SA
2017-01-01,167523.402827711,195,109251.33136209792,137674.74368493783,211583.6589136095,271261.52537865815,ZHVI all-homes SA
2017-02-01,168117.60776394265,195,109469.39023099755,138251.4116917184,212214.58402101515,272752.2045689245,ZHVI all-homes SA
2017-03-01,168658.21369850458,195,109643.12315619343,138519.91700911702,212898.45062219416,275134.8218162266,ZHVI all-homes SA
2017-04-01,169360.09599699944,195,109422.02893910065,138208.2487104354,214045.8413713553,277738.79409172136,ZHVI all-homes SA
2017-05-01,169671.4228773367,195,109501.87013922149,138210.3281147768,214885.26564075556,279566.04301607923,ZHVI all-homes SA
2017-06-01,169921.42944810857,195,109955.19652647898,138441.33738109237,216023.16337839118,280902.88304459385,ZHVI all-homes SA
2017-07-01,170189.41089468088,195,110556.17560244244,138599.36762626667,216846.8360916253,282185.9614279275,ZHVI all-homes SA
2017-08-01,170671.85143639645,195,110970.52422390333,138816.8279149722,217679.8904407379,283887.5377005523,ZHVI all-homes SA
2017-09-01,171263.72866493993,195,111126.01401635213,139262.670054221,218597.89320002834,285944.93014531286,ZHVI all-homes SA
2017-10-01,171093.30224727074,195,111283.51193836838,139676.86974609888,219548.42304215382,288462.128229597,ZHVI all-homes SA
2017-11-01,171107.41366905838,195,111778.34641642461,140339.01128582767,220562.32069121965,291020.0946847083,ZHVI all-homes SA
2017-12-01,171297.2040974748,195,112438.36344919904,141017.96594437445,221948.22553579777,293262.72536907985,ZHVI all-homes SA
2018-01-01,173129.2490856176,196,113648.31425172294,141646.72357631955,223096.41026415827,295530.5809811194,ZHVI all-homes SA
2018-02-01,174117.639159246,196,114387.47467712837,142045.07627918536,223850.97592499017,298265.1712834328,ZHVI all-homes SA
