rep,feasible_true,oracle_true,truth_diff,feasible_estimate,oracle_estimate,diff_estimate,feasible_se,oracle_se,diff_se,feasible_z,oracle_z,diff_z,feasible_reject,oracle_reject,diff_reject
169,0.6786417222069832,0.6786417222069832,0.0,0.6710290403835065,0.6657767250733473,-0.005252315310159239,0.0483034296266394,0.04752781813606884,-0.0007756114905705588,-0.15760126935745006,-0.27068352047645605,-0.113082251119006,0,0,0
170,0.32506466872721335,0.32506466872721335,0.0,0.35795078065505,0.3576166002684179,-0.00033418038663207694,0.051305284807822954,0.05086529259432426,-0.0004399922134986911,0.6409887802205946,0.6399635169863709,-0.0010252632342236945,0,0,0
171,0.30944977760472975,0.30944977760472975,0.0,0.32832036837407935,0.32878588331192277,0.00046551493784341424,0.06198171877968727,0.06289824326454288,0.0009165244848556089,0.3044541381052166,0.30741885152288834,0.0029647134176717382,0,0,0
172,0.4131921205177061,0.4131921205177061,0.0,0.4306333245699771,0.4357628963080979,0.005129571738120786,0.03991334535173369,0.03929440480987328,-0.0006189405418604091,0.4369767529775208,0.5744017729649022,0.13742501998738144,0,0,0
173,0.5992833623848981,0.5992833623848981,0.0,0.7204007856089721,0.7118252298829041,-0.008575555726068051,0.047796746070339464,0.049027065333433456,0.0012303192630939916,2.534009805726799,2.2955048753705296,-0.23850493035626918,1,1,0
174,0.39741581316780494,0.39741581316780494,0.0,0.39547620331843514,0.39606573912879817,0.0005895358103630288,0.042530968060506456,0.04369276660904143,0.001161798548534973,-0.04560464851424096,-0.03089925733215995,0.014705391182081012,0,0,0
175,0.31799952441246715,0.31799952441246715,0.0,0.35298995819239953,0.3559094539066315,0.0029194957142319455,0.053490547793975454,0.05568180123441657,0.0021912534404411182,0.6541423713718874,0.6808315940528957,0.026689222681008373,0,0,0
176,0.29011671962648644,0.29011671962648644,0.0,0.28549794942088824,0.2817221429399889,-0.0037758064808993685,0.04317915859949828,0.04304740493606732,-0.0001317536634309613,-0.10696758240332796,-0.19500772924558252,-0.08804014684225456,0,0,0
177,0.3065851241593888,0.3065851241593888,0.0,0.3139949741345235,0.3287720740373703,0.014777099902846813,0.05254863467981775,0.0502169911624605,-0.0023316435173572486,0.141009371990031,0.4418215700379763,0.3008121980479453,0,0,0
178,0.4315238497178958,0.4315238497178958,0.0,0.505011179417206,0.5018203236438845,-0.003190855773321455,0.06678573765383555,0.0692461609876904,0.00246042333385485,1.1003446586187362,1.015167814696399,-0.08517684392233726,0,0,0
179,0.3456971930769084,0.3456971930769084,0.0,0.3035518219566237,0.3184913587700621,0.014939536813438403,0.05065803413269042,0.05230971223001078,0.0016516780973203637,-0.8319582834559226,-0.5200914542832813,0.3118668291726413,0,0,0
180,0.5665030289085078,0.5665030289085078,0.0,0.5621222565836788,0.5563062443987159,-0.00581601218496286,0.045407219187003814,0.04454751123062894,-0.0008597079563748763,-0.09647744132463563,-0.22889683908494135,-0.1324193977603057,0,0,0
181,0.4127445654831271,0.4127445654831271,0.0,0.4048172987249517,0.4095891150663074,0.004771816341355706,0.043157846518838194,0.045041499222365756,0.0018836527035275621,-0.18368077644270747,-0.07005651391046121,0.11362426253224626,0,0,0
182,0.47569774927928565,0.47569774927928565,0.0,0.45963029019325785,0.4632044366991936,0.003574146505935738,0.03648919082734055,0.03849648324912739,0.0020072924217868424,-0.44033476001306143,-0.32453126949914973,0.1158034905139117,0,0,0
183,0.6374018912337444,0.6374018912337444,0.0,0.6761690304130348,0.6765775349733228,0.0004085045602880699,0.04250464697535188,0.0425694900437365,6.484306838461934e-05,0.9120682546021659,0.9202751477485137,0.008206893146347816,0,0,0
184,0.5510833925259184,0.5510833925259184,0.0,0.5273643720615694,0.528863135344007,0.0014987632824375874,0.04448682348918385,0.04501226191967183,0.0005254384304879817,-0.5331695680658315,-0.49364897995051593,0.03952058811531556,0,0,0
185,0.3819355994980912,0.3819355994980912,0.0,0.4456989981875048,0.4370691328481923,-0.008629865339312481,0.06167209216620217,0.05997884203579252,-0.0016932501304096487,1.0339100953081908,0.9192163682853373,-0.11469372702285352,0,0,0
186,0.30357083092290166,0.30357083092290166,0.0,0.3618349055322879,0.3558749083116351,-0.005959997220652824,0.06268787591418386,0.06078360484193608,-0.0019042710722477763,0.9294313096386687,0.8604964698087072,-0.06893483982996151,0,0,0
187,0.39022123449333346,0.39022123449333346,0.0,0.3820460363741448,0.38050378527812534,-0.0015422510960194646,0.04089044881798977,0.041940425135621545,0.0010499763176317761,-0.19992928313352168,-0.23169648814443541,-0.031767205010913735,0,0,0
188,0.2960084538281331,0.2960084538281331,0.0,0.39907175125527816,0.4100461444592467,0.010974393203968535,0.06612385492808731,0.06672323658068656,0.0005993816525992485,1.5586401842305027,1.709115092059585,0.15047490782908235,0,0,0
189,0.33659292192647555,0.33659292192647555,0.0,0.4072795929351299,0.4157704562692788,0.00849086333414889,0.05058013510785221,0.05003648264169519,-0.0005436524661570213,1.3975184300700043,1.582396087066778,0.1848776569967736,0,0,0
190,0.5331191900446395,0.5331191900446395,0.0,0.4760471826748691,0.46578056822249514,-0.010266614452373979,0.04404075737906191,0.04346341530365922,-0.0005773420754026856,-1.2958906877678684,-1.549317313231826,-0.25342662546395767,0,0,0
