geometry,tuning,N,usable_T,maxiter,tol,ridge,number_of_solves,convergence_fraction,iterations_mean,iterations_median,iterations_max,relative_residual_median,relative_residual_max,solution_norm_median,solution_norm_max,number_reaching_maxiter,number_containing_nonfinite_values,target_name,estimate,se_white,se_xs,delta_estimate_vs_baseline,delta_white_se_vs_baseline,delta_xs_se_vs_baseline,total_runtime_sec,first_stage_monotone,first_stage_sweep_cap_hit_rate,first_stage_final_relative_objective_decrease_mean,retained_nonvalidation,retained_total,ranks
B_representative_N50_T100,tol_1e-5_ridge_1e-5,50,100,2000,1e-05,1e-05,30,1.0,549.5,519.5,756,8.158433934065349e-06,9.97455453609218e-06,2.0326019813067555,2.2150216248388572,0,0,asinh_permits_mean,0.10060767381091397,0.0003544041613774552,0.0006471217644888318,0.024145218538869015,-0.0021307796535028904,-0.003724748901774088,52.95325509994291,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,tol_1e-5_ridge_1e-5,50,100,2000,1e-05,1e-05,30,1.0,549.5,519.5,756,8.158433934065349e-06,9.97455453609218e-06,2.0326019813067555,2.2150216248388572,0,0,lag_log_zhvi_mean,0.8915656913943519,0.0003471427327713738,0.0006402967541474081,-0.02600803473578117,-0.002331702684715639,-0.004046933208518899,52.95325509994291,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,tol_1e-5_ridge_1e-5,50,100,2000,1e-05,1e-05,30,1.0,549.5,519.5,756,8.158433934065349e-06,9.97455453609218e-06,2.0326019813067555,2.2150216248388572,0,0,log_employment_mean,1.8239161665490662e-05,0.0002,0.0002,-6.483740782499262e-05,0.0,0.0,52.95325509994291,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
C_full_time_N50,baseline,50,196,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.047801583049633035,0.4712670414700777,9.60233648969585,11.433759070081292,30,0,asinh_permits_mean,0.0561006790586108,0.0019030027138341181,0.00480380316364298,0.0,0.0,0.0,65.4009579999838,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,baseline,50,196,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.047801583049633035,0.4712670414700777,9.60233648969585,11.433759070081292,30,0,lag_log_zhvi_mean,0.9407213595270125,0.0020311321689374983,0.0050772728394017225,0.0,0.0,0.0,65.4009579999838,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,baseline,50,196,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.047801583049633035,0.4712670414700777,9.60233648969585,11.433759070081292,30,0,log_employment_mean,-1.651667894658808e-05,0.00010204081632653062,0.00010204081632653062,0.0,0.0,0.0,65.4009579999838,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,maxiter_2000,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,asinh_permits_mean,0.05613417549458695,0.001902652578020837,0.004800913172006053,3.349643597615193e-05,-3.501358132810672e-07,-2.8899916369269293e-06,125.36933360004332,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,maxiter_2000,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,lag_log_zhvi_mean,0.9406958474325456,0.002030776152853567,0.005075309260592524,-2.5512094466884072e-05,-3.5601608393146314e-07,-1.9635788091982784e-06,125.36933360004332,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,maxiter_2000,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,log_employment_mean,-1.6090140251098794e-05,0.00010204081632653062,0.00010204081632653062,4.2653869548928724e-07,0.0,0.0,125.36933360004332,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-6,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,asinh_permits_mean,0.05613417549458695,0.001902652578020837,0.004800913172006053,3.349643597615193e-05,-3.501358132810672e-07,-2.8899916369269293e-06,43.297821999993175,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-6,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,lag_log_zhvi_mean,0.9406958474325456,0.002030776152853567,0.005075309260592524,-2.5512094466884072e-05,-3.5601608393146314e-07,-1.9635788091982784e-06,43.297821999993175,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-6,50,196,2000,1e-05,1e-06,30,1.0,1093.5333333333333,1050.5,1304,8.700962465207204e-06,9.996829734314942e-06,9.602806261330828,11.43385308524912,0,0,log_employment_mean,-1.6090140251098794e-05,0.00010204081632653062,0.00010204081632653062,4.2653869548928724e-07,0.0,0.0,43.297821999993175,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-5,50,196,2000,1e-05,1e-05,30,1.0,551.4333333333333,530.5,732,8.641674443791638e-06,9.861517873661361e-06,1.4162463253446345,1.5266452495655658,0,0,asinh_permits_mean,0.09414479520700665,0.00028604476745133653,0.0007404666656098223,0.038044116148395854,-0.0016169579463827816,-0.004063336498033158,23.646761199925095,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-5,50,196,2000,1e-05,1e-05,30,1.0,551.4333333333333,530.5,732,8.641674443791638e-06,9.861517873661361e-06,1.4162463253446345,1.5266452495655658,0,0,lag_log_zhvi_mean,0.9004931964133639,0.00029196212914769844,0.000774022486698358,-0.04022816311364863,-0.0017391700397897999,-0.0043032503527033646,23.646761199925095,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
C_full_time_N50,tol_1e-5_ridge_1e-5,50,196,2000,1e-05,1e-05,30,1.0,551.4333333333333,530.5,732,8.641674443791638e-06,9.861517873661361e-06,1.4162463253446345,1.5266452495655658,0,0,log_employment_mean,1.7326594322902453e-06,0.00010204081632653062,0.00010204081632653062,1.8249338378878327e-05,0.0,0.0,23.646761199925095,True,1.0,2.583715409662815e-05,0.9007596371882087,0.8106836734693876,"1,1,1,2"
