cbsa_code,zhvi_earliest,zhvi_latest,zhvi_internal_missing_months,zhvi_longest_contiguous,permits_nsa_earliest,permits_nsa_latest,permits_nsa_internal_missing_months,permits_nsa_longest_contiguous,permits_sa_earliest,permits_sa_latest,permits_sa_internal_missing_months,permits_sa_longest_contiguous,employment_official_sa_earliest,employment_official_sa_latest,employment_official_sa_internal_missing_months,employment_official_sa_longest_contiguous,employment_local_x13_sa_earliest,employment_local_x13_sa_latest,employment_local_x13_sa_internal_missing_months,employment_local_x13_sa_longest_contiguous
22900,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23020,,,0,0,2004-01,2009-12,0,72,,,0,0,,,0,0,,,0,0
23060,2003-08,2026-06,0,275,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23420,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23460,2002-05,2026-06,0,290,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23540,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23580,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
23900,2000-01,2026-06,2,249,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
24020,2000-01,2026-06,1,261,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24140,2000-01,2026-06,0,318,2004-01,2026-06,84,132,2004-01,2014-12,0,132,,,0,0,,,0,0
24220,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24260,2004-05,2026-06,0,266,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
24300,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24340,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24420,2000-01,2026-06,1,220,2014-01,2026-06,84,54,,,0,0,,,0,0,,,0,0
24500,2007-06,2026-06,1,191,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24540,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24580,2001-10,2026-06,1,220,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24660,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24780,2008-02,2026-06,0,221,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
24860,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25060,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25180,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
25220,2007-08,2026-06,0,227,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
