zillow_region_id,zillow_region_name,state_name,region_type,normalized_title,cbsa_code,official_title,classification,classification_reason,deterministic_rule
394445,"Casper, WY",WY,msa,casper wy,16220,"Casper, WY",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394437,"Ca±on City, CO",CO,msa,caon city co,,,unresolved,no deterministic exact-code or exact-title match,
394446,"Cedar City, UT",UT,msa,cedar city ut,16260,"Cedar City, UT",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394447,"Cedar Rapids, IA",IA,msa,cedar rapids ia,16300,"Cedar Rapids, IA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394448,"Cedartown, GA",GA,msa,cedartown ga,16340,"Cedartown, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394449,"Celina, OH",OH,msa,celina oh,16380,"Celina, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394451,"Centralia, IL",IL,msa,centralia il,16460,"Centralia, IL",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394452,"Centralia, WA",WA,msa,centralia wa,16500,"Centralia, WA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394453,"Chambersburg, PA",PA,msa,chambersburg pa,16540,"Chambersburg, PA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394454,"Champaign, IL",IL,msa,champaign il,,,unresolved,no deterministic exact-code or exact-title match,
394456,"Charleston, IL",IL,msa,charleston il,,,unresolved,no deterministic exact-code or exact-title match,
394457,"Charleston, SC",SC,msa,charleston sc,,,unresolved,no deterministic exact-code or exact-title match,
394455,"Charleston, WV",WV,msa,charleston wv,16620,"Charleston, WV",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394458,"Charlotte, NC",NC,msa,charlotte nc,,,unresolved,no deterministic exact-code or exact-title match,
394459,"Charlottesville, VA",VA,msa,charlottesville va,16820,"Charlottesville, VA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394460,"Chattanooga, TN",TN,msa,chattanooga tn,,,unresolved,no deterministic exact-code or exact-title match,
394462,"Cheyenne, WY",WY,msa,cheyenne wy,16940,"Cheyenne, WY",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394463,"Chicago, IL",IL,msa,chicago il,,,unresolved,no deterministic exact-code or exact-title match,
394464,"Chico, CA",CA,msa,chico ca,17020,"Chico, CA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394465,"Chillicothe, OH",OH,msa,chillicothe oh,17060,"Chillicothe, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394466,"Cincinnati, OH",OH,msa,cincinnati oh,,,unresolved,no deterministic exact-code or exact-title match,
394469,"Clarksburg, WV",WV,msa,clarksburg wv,17220,"Clarksburg, WV",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394470,"Clarksdale, MS",MS,msa,clarksdale ms,17260,"Clarksdale, MS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394471,"Clarksville, TN",TN,msa,clarksville tn,,,unresolved,no deterministic exact-code or exact-title match,
394472,"Clearlake, CA",CA,msa,clearlake ca,17340,"Clearlake, CA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
