cbsa_code,cbsa_name,metro_micro_type,county_fips,county_name,state_name
14020,"Bloomington, IN",Metropolitan Statistical Area,18119,Owen County,Indiana
14260,"Boise City, ID",Metropolitan Statistical Area,16001,Ada County,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,16015,Boise County,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,16027,Canyon County,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,16045,Gem County,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,16073,Owyhee County,Idaho
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,25021,Norfolk County,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,25023,Plymouth County,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,25025,Suffolk County,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,25009,Essex County,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,25017,Middlesex County,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,33015,Rockingham County,New Hampshire
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,33017,Strafford County,New Hampshire
14500,"Boulder, CO",Metropolitan Statistical Area,08013,Boulder County,Colorado
14540,"Bowling Green, KY",Metropolitan Statistical Area,21003,Allen County,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,21031,Butler County,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,21061,Edmonson County,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,21227,Warren County,Kentucky
14580,"Bozeman, MT",Metropolitan Statistical Area,30031,Gallatin County,Montana
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,53035,Kitsap County,Washington
14860,"Bridgeport-Stamford-Danbury, CT",Metropolitan Statistical Area,09120,Greater Bridgeport Planning Region,Connecticut
14860,"Bridgeport-Stamford-Danbury, CT",Metropolitan Statistical Area,09190,Western Connecticut Planning Region,Connecticut
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,48061,Cameron County,Texas
15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,13025,Brantley County,Georgia
15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,13127,Glynn County,Georgia
15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,13191,McIntosh County,Georgia
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,36029,Erie County,New York
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,36063,Niagara County,New York
15500,"Burlington, NC",Metropolitan Statistical Area,37001,Alamance County,North Carolina
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,50007,Chittenden County,Vermont
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,50011,Franklin County,Vermont
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,50013,Grand Isle County,Vermont
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,39019,Carroll County,Ohio
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,39151,Stark County,Ohio
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,12071,Lee County,Florida
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,17003,Alexander County,Illinois
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,29017,Bollinger County,Missouri
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,29031,Cape Girardeau County,Missouri
16180,"Carson City, NV",Metropolitan Statistical Area,32510,Carson City,Nevada
16220,"Casper, WY",Metropolitan Statistical Area,56025,Natrona County,Wyoming
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,19011,Benton County,Iowa
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,19105,Jones County,Iowa
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,19113,Linn County,Iowa
16540,"Chambersburg, PA",Metropolitan Statistical Area,42055,Franklin County,Pennsylvania
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,17019,Champaign County,Illinois
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,17053,Ford County,Illinois
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,17147,Piatt County,Illinois
16620,"Charleston, WV",Metropolitan Statistical Area,54005,Boone County,West Virginia
16620,"Charleston, WV",Metropolitan Statistical Area,54015,Clay County,West Virginia
16620,"Charleston, WV",Metropolitan Statistical Area,54039,Kanawha County,West Virginia
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,45015,Berkeley County,South Carolina
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,45019,Charleston County,South Carolina
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,45035,Dorchester County,South Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37007,Anson County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37025,Cabarrus County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37071,Gaston County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37097,Iredell County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37109,Lincoln County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37119,Mecklenburg County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37159,Rowan County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,37179,Union County,North Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,45023,Chester County,South Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,45057,Lancaster County,South Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,45091,York County,South Carolina
16820,"Charlottesville, VA",Metropolitan Statistical Area,51003,Albemarle County,Virginia
16820,"Charlottesville, VA",Metropolitan Statistical Area,51065,Fluvanna County,Virginia
16820,"Charlottesville, VA",Metropolitan Statistical Area,51079,Greene County,Virginia
16820,"Charlottesville, VA",Metropolitan Statistical Area,51125,Nelson County,Virginia
16820,"Charlottesville, VA",Metropolitan Statistical Area,51540,Charlottesville city,Virginia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,13047,Catoosa County,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,13083,Dade County,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,13295,Walker County,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,47065,Hamilton County,Tennessee
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,47115,Marion County,Tennessee
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,47153,Sequatchie County,Tennessee
16940,"Cheyenne, WY",Metropolitan Statistical Area,56021,Laramie County,Wyoming
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17031,Cook County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17043,DuPage County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17063,Grundy County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17111,McHenry County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17197,Will County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17037,DeKalb County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17089,Kane County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17093,Kendall County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,17097,Lake County,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,18073,Jasper County,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,18089,Lake County,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,18111,Newton County,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,18127,Porter County,Indiana
17020,"Chico, CA",Metropolitan Statistical Area,06007,Butte County,California
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,18029,Dearborn County,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,18047,Franklin County,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,18115,Ohio County,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21015,Boone County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21023,Bracken County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21037,Campbell County,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,21077,Gallatin County,Kentucky
