cbsa,lat,lon
25020,17.979155,-66.069473
25180,39.554433,-77.984594
25220,30.621348,-90.40649
25260,36.072478,-119.81553
25300,39.664115,-91.579179
25420,40.335915,-77.05049
25500,38.507585,-78.885321
25540,41.688038,-72.545112
25620,31.188441,-89.232741
25720,40.699219,-111.020425
25775,37.677139,-87.626242
25770,41.325949,-75.031514
25780,36.365481,-78.405434
25850,41.300014,-80.252786
25860,35.814295,-81.456584
25980,31.778788,-81.57648
26090,42.421251,-86.261403
26300,34.578852,-93.146932
26420,29.801005,-95.34262
26460,42.247696,-73.626718
26500,40.422311,-77.968595
26540,40.826394,-85.478597
26580,38.357487,-82.579994
26620,34.783262,-86.734871
26660,30.743163,-95.569825
26780,44.821657,-94.272323
26820,43.620423,-112.420919
26860,40.651432,-79.087545
26900,39.790533,-86.12426
26980,41.517806,-91.64793
27020,45.947705,-88.08097
27060,42.453006,-76.473483
27140,32.426311,-90.136422
27260,30.234184,-81.756033
27300,39.69395,-90.285047
27380,31.843881,-95.156343
27500,42.66988,-89.075284
27600,34.130905,-83.562557
27620,38.636885,-92.088876
27700,31.547845,-81.912376
27740,36.265822,-82.332693
27780,40.510209,-78.710488
27860,35.696978,-90.650175
27900,37.092135,-94.500651
28020,42.246266,-85.532854
28100,41.13951,-87.861117
28140,38.931857,-94.443841
28300,42.92546,-72.248183
28340,41.404679,-85.417271
28420,46.364155,-119.254927
28450,42.587526,-87.879996
28500,30.059953,-99.353339
28580,25.58612,-81.022603
28620,35.606269,-75.767536
28680,30.913358,-81.642019
28700,36.604161,-82.440145
28740,41.947212,-74.265458
28780,27.438735,-97.66062
28880,41.575274,-74.033873
28940,36.044462,-84.136114
29020,40.483537,-86.114118
29060,43.519109,-71.425366
29100,43.698264,-91.11014
29180,30.012961,-92.136552
29200,40.482153,-87.017112
29300,32.970298,-85.24416
29340,30.038451,-93.190093
29380,30.221651,-82.623371
29460,27.953685,-81.693493
29470,38.249326,-78.011092
29620,42.713659,-84.605372
29720,18.276925,-66.869587
29740,32.349919,-106.834968
29780,35.644067,-104.863027
29820,36.21413,-115.014398
29860,31.825465,-89.148054
29900,34.840023,-79.477337
29940,38.896417,-95.290947
29980,35.220476,-87.396546
30020,34.529113,-98.430902
30140,40.371448,-76.464819
30180,42.737585,-96.215864
30260,40.962179,-77.055475
30280,35.468329,-86.765868
30340,44.167681,-70.207435
30460,38.102876,-84.438545
30500,38.312696,-76.527935
30620,40.771627,-84.106103
30660,40.129277,-89.365309
30700,40.817429,-96.868801
30780,34.755773,-92.400589
30820,41.239508,-77.629009
31020,46.196785,-122.67846
31060,35.870047,-106.307968
31080,34.108703,-118.182753
31140,38.224363,-85.701989
31180,33.469794,-101.880412
31300,34.63921,-79.100881
31420,32.856216,-83.714305
31540,43.083846,-89.597745
31680,34.315177,-92.944147
31700,42.911532,-71.723055
31860,44.15481,-94.147801
31900,40.774159,-82.542781
31930,39.450676,-81.490636
31940,45.435279,-87.769216
32000,35.682271,-82.048044
32020,40.588034,-83.168803
32060,37.730353,-88.930018
32280,36.303596,-88.721194
32420,18.01917,-67.166597
32460,36.723344,-88.649897
32580,26.396384,-98.18099
32740,41.687876,-80.107795
32780,42.411621,-122.675611
32820,35.010307,-89.820503
32860,44.947751,-91.897645
32900,37.194806,-120.722802
33020,39.214481,-91.843418
33060,36.835764,-94.802681
33100,26.101828,-80.478755
33140,41.549013,-86.744739
33180,36.728928,-83.680718
33220,43.648203,-84.379414
33260,32.092359,-101.994539
33340,42.912643,-87.862312
33380,32.732152,-93.339825
33420,32.752204,-98.317967
33460,45.096664,-93.275361
33620,39.439249,-92.492959
33660,30.684572,-88.196568
33700,37.562316,-121.002831
33740,32.67396,-92.058318
33780,41.916097,-83.487106
33860,32.365631,-86.404585
33900,40.75095,-86.864293
33910,41.719993,-74.771577
33980,34.858343,-76.53586
34100,36.115484,-83.376546
34140,46.81892,-116.730974
34180,47.213633,-119.467788
