Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202406,184,18740,5,Coshocton  OH ,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,184,23380,5,Fremont  OH ,1,1,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,184,35420,5,New Philadelphia-Dover  OH ,26,26,7852,0,0,0,0,0,0,0,0,0,1,1,399,0,0,0,0,0,0,0,0,0
202406,184,35940,5,Norwalk  OH ,3,3,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,184,41780,2,Sandusky  OH ,17,17,7862,0,0,0,0,0,0,0,0,0,10,10,5900,0,0,0,0,0,0,0,0,0
202406,184,49300,5,Wooster  OH ,19,19,5300,0,0,0,0,0,0,0,0,0,19,19,5300,0,0,0,0,0,0,0,0,0
202406,190,17860,2,Columbia  MO ,65,65,25865,0,0,0,0,0,0,0,0,0,64,64,25520,0,0,0,0,0,0,0,0,0
202406,190,27620,2,Jefferson City  MO ,15,15,4595,0,0,0,0,0,0,0,0,0,10,10,3535,0,0,0,0,0,0,0,0,0
202406,190,33020,5,Mexico  MO ,1,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,190,33620,5,Moberly  MO ,4,4,974,2,4,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,192,17900,2,Columbia  SC ,330,330,79949,4,8,1145,22,80,13568,1,90,13838,220,220,58444,4,8,1145,22,80,13568,1,90,13838
202406,192,35140,5,Newberry  SC ,10,10,4027,0,0,0,0,0,0,0,0,0,10,10,4027,0,0,0,0,0,0,0,0,0
202406,192,36700,5,Orangeburg  SC ,7,7,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,192,44940,2,Sumter  SC ,29,29,4790,2,4,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,194,10760,5,Alexander City  AL ,15,15,10020,0,0,0,0,0,0,0,0,0,11,11,6228,0,0,0,0,0,0,0,0,0
202406,194,12220,2,Auburn-Opelika  AL ,138,138,36120,0,0,0,0,0,0,0,0,0,88,88,23869,0,0,0,0,0,0,0,0,0
202406,194,17980,2,Columbus  GA-AL ,58,58,13731,0,0,0,0,0,0,0,0,0,36,36,7283,0,0,0,0,0,0,0,0,0
202406,198,11900,5,Athens  OH ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,198,13340,5,Bellefontaine  OH ,6,6,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,198,15740,5,Cambridge  OH ,1,1,316,0,0,0,0,0,0,0,0,0,1,1,316,0,0,0,0,0,0,0,0,0
202406,198,17060,5,Chillicothe  OH ,1,1,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,198,18140,2,Columbus  OH ,498,498,194465,6,12,1942,4,15,3867,50,1467,182131,410,410,160016,5,10,1800,3,12,3750,50,1467,182131
202406,198,32020,5,Marion  OH ,7,7,2207,0,0,0,0,0,0,0,0,0,4,4,1700,0,0,0,0,0,0,0,0,0
202406,198,34540,5,Mount Vernon  OH ,11,11,3210,1,2,620,0,0,0,0,0,0,1,1,480,1,2,620,0,0,0,0,0,0
202406,198,47920,5,Washington Court House  OH ,13,13,2630,0,0,0,0,0,0,0,0,0,13,13,2630,0,0,0,0,0,0,0,0,0
202406,198,49780,5,Zanesville  OH ,4,4,1193,0,0,0,1,3,414,1,12,1450,0,0,0,0,0,0,0,0,0,0,0,0
202406,204,10860,5,Alice  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,204,18580,2,Corpus Christi  TX ,176,176,44933,0,0,0,0,0,0,1,5,372,23,23,6615,0,0,0,0,0,0,0,0,0
202406,204,28780,5,Kingsville  TX ,2,2,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,206,11980,5,Athens  TX ,21,21,5126,0,0,0,0,0,0,0,0,0,5,5,953,0,0,0,0,0,0,0,0,0
202406,206,14300,5,Bonham  TX ,5,5,580,0,0,0,0,0,0,0,0,0,4,4,361,0,0,0,0,0,0,0,0,0
202406,206,18620,5,Corsicana  TX ,41,41,10290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,206,19100,2,Dallas-Fort Worth-Arlington  TX ,3854,3854,1255030,53,106,16039,11,39,4541,58,1518,211262,3294,3294,1104791,38,76,11794,8,28,3490,56,1499,209189
202406,206,20460,5,Durant  OK ,1,1,640,0,0,0,0,0,0,0,0,0,1,1,640,0,0,0,0,0,0,0,0,0
202406,206,23620,5,Gainesville  TX ,7,7,1920,0,0,0,0,0,0,0,0,0,1,1,288,0,0,0,0,0,0,0,0,0
202406,206,24180,5,Granbury  TX ,8,8,2235,0,0,0,0,0,0,0,0,0,7,7,1979,0,0,0,0,0,0,0,0,0
202406,206,33420,5,Mineral Wells  TX ,2,2,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,206,43300,2,Sherman-Denison  TX ,136,136,38999,0,0,0,0,0,0,5,174,24972,85,85,24345,0,0,0,0,0,0,5,174,24972
202406,206,44860,5,Sulphur Springs  TX ,6,6,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,209,17540,5,Clinton  IA ,1,1,690,1,2,446,0,0,0,1,5,833,1,1,690,0,0,0,0,0,0,0,0,0
202406,209,19340,2,Davenport-Moline-Rock Island  IA-IL ,49,49,13189,0,0,0,1,4,787,1,5,524,32,32,6898,0,0,0,0,0,0,0,0,0
202406,209,34700,5,Muscatine  IA ,2,2,707,0,0,0,0,0,0,0,0,0,2,2,707,0,0,0,0,0,0,0,0,0
202406,212,19430,2,Dayton-Kettering-Beavercreek  OH ,145,145,60195,0,0,0,2,6,1825,4,43,5245,107,107,47419,0,0,0,2,6,1825,2,20,2455
202406,212,24820,5,Greenville  OH ,2,2,1195,0,0,0,0,0,0,0,0,0,2,2,1195,0,0,0,0,0,0,0,0,0
202406,212,43380,5,Sidney  OH ,6,6,1533,0,0,0,0,0,0,0,0,0,6,6,1533,0,0,0,0,0,0,0,0,0
202406,212,44220,2,Springfield  OH ,9,9,3405,0,0,0,0,0,0,0,0,0,9,9,3405,0,0,0,0,0,0,0,0,0
202406,212,46500,5,Urbana  OH ,3,3,1175,0,0,0,0,0,0,0,0,0,3,3,1175,0,0,0,0,0,0,0,0,0
202406,216,14500,2,Boulder  CO ,85,85,38212,0,0,0,0,0,0,1,14,3756,59,59,15199,0,0,0,0,0,0,0,0,0
202406,216,19740,2,Denver-Aurora-Centennial  CO ,773,773,264926,0,0,0,0,0,0,13,538,92158,719,719,246663,0,0,0,0,0,0,11,523,89575
202406,216,24540,2,Greeley  CO ,204,204,69256,2,4,884,2,6,1375,3,37,6056,146,146,49298,0,0,0,0,0,0,0,0,0
202406,218,11180,2,Ames  IA ,19,19,6454,0,0,0,1,4,898,5,34,7632,14,14,4986,0,0,0,1,4,898,5,34,7632
202406,218,19780,2,Des Moines-West Des Moines  IA ,306,306,114969,3,6,1459,0,0,0,2,33,6449,304,304,114367,3,6,1459,0,0,0,2,33,6449
202406,218,36820,5,Oskaloosa  IA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,218,37800,5,Pella  IA ,11,11,3934,0,0,0,0,0,0,0,0,0,8,8,3286,0,0,0,0,0,0,0,0,0
202406,220,10300,5,Adrian  MI ,22,22,6442,0,0,0,0,0,0,0,0,0,13,13,4853,0,0,0,0,0,0,0,0,0
