Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200803,538,46140,C,Tulsa  OK ,293,293,48067,0,0,0,0,0,0,13,336,34124,284,284,46883,0,0,0,0,0,0,13,336,34124
200803,540,46340, ,Tyler  TX ,16,16,2823,0,0,0,0,0,0,1,6,277,0,0,0,0,0,0,0,0,0,0,0,0
200803,548,12580,C,Baltimore-Towson  MD ,272,272,46423,0,0,0,0,0,0,3,44,4232,256,256,43537,0,0,0,0,0,0,2,22,2149
200803,548,47900,C,Washington-Arlington-Alexandria  DC-VA-MD-WV ,837,837,153006,6,12,1087,0,0,0,10,487,44665,713,713,125920,6,12,1087,0,0,0,7,292,28288
200803,548,49020, ,Winchester  VA-WV ,55,55,9557,0,0,0,0,0,0,0,0,0,55,55,9557,0,0,0,0,0,0,0,0,0
200803,554,48140, ,Wausau  WI ,10,10,1718,1,2,220,0,0,0,1,12,550,8,8,1345,1,2,220,0,0,0,1,12,550
200803,556,48620, ,Wichita  KS ,102,102,14308,2,4,251,0,0,0,2,25,1011,34,34,6311,0,0,0,0,0,0,0,0,0
200803,558,48700, ,Williamsport  PA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,564,49620, ,York-Hanover  PA ,98,98,16540,1,2,160,1,4,400,0,0,0,91,91,15361,1,2,160,1,4,400,0,0,0
200803,566,49660, ,Youngstown-Warren-Boardman  OH-PA ,24,24,4872,0,0,0,0,0,0,2,12,700,8,8,1560,0,0,0,0,0,0,2,12,700
200803,999,10180, ,Abilene  TX ,29,29,5520,0,0,0,0,0,0,0,0,0,29,29,5520,0,0,0,0,0,0,0,0,0
200803,999,10500, ,Albany  GA ,23,23,2758,1,2,150,0,0,0,1,5,188,5,5,704,0,0,0,0,0,0,0,0,0
