Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9902,2620,9999,,Flagstaff  AZ-UT MSA ,21,21,3708,0,0,0,0,0,0,0,0,0,21,21,3708,0,0,0,0,0,0,0,0,0
9902,2650,9999,,Florence  AL MSA ,8,8,761,0,0,0,0,0,0,1,8,352,8,8,761,0,0,0,0,0,0,1,8,352
9902,2655,9999,,Florence  SC MSA ,42,42,3652,0,0,0,0,0,0,1,9,391,0,0,0,0,0,0,0,0,0,0,0,0
9902,2670,9999,,Fort Collins-Loveland  CO MSA ,179,179,21167,0,0,0,2,8,437,2,17,908,49,49,7472,0,0,0,0,0,0,0,0,0
9902,2700,9999,,Fort Myers-Cape Coral  FL MSA ,389,389,51217,18,36,6279,13,51,6384,7,88,7700,389,389,51217,18,36,6279,13,51,6384,7,88,7700
9902,2710,9999,,Fort Pierce-Port St. Lucie  FL MSA ,217,217,31138,3,6,766,0,0,0,1,8,529,217,217,31138,3,6,766,0,0,0,1,8,529
9902,2720,9999,,Fort Smith  AR-OK MSA ,30,30,4594,0,0,0,0,0,0,0,0,0,30,30,4594,0,0,0,0,0,0,0,0,0
9902,2750,9999,,Fort Walton Beach  FL MSA ,129,129,11790,0,0,0,0,0,0,2,35,1890,51,51,5090,0,0,0,0,0,0,0,0,0
9902,2760,9999,,Fort Wayne  IN MSA ,183,183,29953,0,0,0,1,4,425,2,48,1170,174,174,28917,0,0,0,1,4,425,2,48,1170
9902,2840,9999,,Fresno  CA MSA ,192,192,23743,9,18,1541,3,12,601,0,0,0,182,182,22816,9,18,1541,3,12,601,0,0,0
9902,2880,9999,,Gadsden  AL MSA ,5,5,527,0,0,0,0,0,0,0,0,0,5,5,527,0,0,0,0,0,0,0,0,0
9902,2900,9999,,Gainesville  FL MSA ,96,96,8626,0,0,0,1,3,106,9,143,9827,84,84,7815,0,0,0,0,0,0,9,143,9827
9902,2975,9999,,Glens Falls  NY MSA ,13,13,1569,0,0,0,0,0,0,0,0,0,8,8,966,0,0,0,0,0,0,0,0,0
9902,2980,9999,,Goldsboro  NC MSA ,40,40,4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,2985,9999,,Grand Forks  ND-MN MSA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,2995,9999,,Grand Junction  CO MSA ,93,93,9613,1,2,60,0,0,0,0,0,0,93,93,9613,1,2,60,0,0,0,0,0,0
9902,3000,9999,,Grand Rapids-Muskegon-Holland  MI MSA ,395,395,47872,9,18,1502,4,13,1116,1,12,373,255,255,33243,5,10,960,2,7,693,0,0,0
9902,3040,9999,,Great Falls  MT MSA ,9,9,1078,0,0,0,0,0,0,1,5,239,0,0,0,0,0,0,0,0,0,0,0,0
9902,3080,9999,,Green Bay  WI MSA ,46,46,6386,5,10,843,0,0,0,2,10,462,23,23,3366,3,6,556,0,0,0,0,0,0
9902,3120,9999,,Greensboro--Winston-Salem--High Point  NC MSA ,702,702,75784,1,2,80,0,0,0,16,130,2044,669,669,72619,1,2,80,0,0,0,16,130,2044
9902,3150,9999,,Greenville  NC MSA ,85,85,8247,0,0,0,0,0,0,1,8,325,85,85,8247,0,0,0,0,0,0,1,8,325
9902,3160,9999,,Greenville-Spartanburg-Anderson  SC MSA ,526,526,45239,6,12,578,0,0,0,16,114,3920,484,484,41219,2,4,120,0,0,0,16,114,3920
9902,3240,9999,,Harrisburg-Lebanon-Carlisle  PA MSA ,136,136,13758,0,0,0,0,0,0,0,0,0,131,131,13066,0,0,0,0,0,0,0,0,0
9902,3280,9999,,Hartford  CT MSA ,187,187,21728,1,2,126,0,0,0,0,0,0,175,175,20539,0,0,0,0,0,0,0,0,0
9902,3285,9999,,Hattiesburg  MS MSA ,5,5,1354,0,0,0,0,0,0,0,0,0,5,5,1354,0,0,0,0,0,0,0,0,0
9902,3290,9999,,Hickory-Morganton-Lenoir  NC MSA ,143,143,18868,2,4,140,0,0,0,0,0,0,143,143,18868,2,4,140,0,0,0,0,0,0
9902,3320,9999,,Honolulu  HI MSA ,96,96,14015,0,0,0,0,0,0,0,0,0,96,96,14015,0,0,0,0,0,0,0,0,0
9902,3350,9999,,Houma  LA MSA ,43,43,4403,0,0,0,0,0,0,0,0,0,43,43,4403,0,0,0,0,0,0,0,0,0
9902,3362,1145,,Brazoria  TX PMSA ,152,152,16326,0,0,0,0,0,0,0,0,0,110,110,12049,0,0,0,0,0,0,0,0,0
9902,3362,2920,,Galveston-Texas City  TX PMSA ,109,109,10268,0,0,0,0,0,0,0,0,0,104,104,9856,0,0,0,0,0,0,0,0,0
9902,3362,3360,,Houston  TX PMSA ,1467,1467,169848,0,0,0,6,24,1363,83,1756,81014,1442,1442,164576,0,0,0,6,24,1363,83,1756,81014
9902,3400,9999,,Huntington-Ashland  WV-KY-OH MSA ,3,3,180,0,0,0,0,0,0,0,0,0,3,3,180,0,0,0,0,0,0,0,0,0
9902,3440,9999,,Huntsville  AL MSA ,87,87,5718,0,0,0,0,0,0,0,0,0,87,87,5718,0,0,0,0,0,0,0,0,0
9902,3480,9999,,Indianapolis  IN MSA ,944,944,133713,8,16,1241,2,8,549,1,5,240,904,904,128925,7,14,1042,2,8,549,1,5,240
9902,3500,9999,,Iowa City  IA MSA ,35,35,6433,5,10,806,0,0,0,1,22,1075,35,35,6433,5,10,806,0,0,0,1,22,1075
9902,3520,9999,,Jackson  MI MSA ,3,3,339,0,0,0,0,0,0,0,0,0,3,3,339,0,0,0,0,0,0,0,0,0
9902,3560,9999,,Jackson  MS MSA ,220,220,22412,0,0,0,0,0,0,0,0,0,190,190,19411,0,0,0,0,0,0,0,0,0
9902,3580,9999,,Jackson  TN MSA ,80,80,7663,0,0,0,0,0,0,2,16,908,80,80,7663,0,0,0,0,0,0,2,16,908
9902,3600,9999,,Jacksonville  FL MSA ,652,652,75204,4,8,520,0,0,0,9,82,2784,640,640,73834,3,6,357,0,0,0,8,76,2556
9902,3605,9999,,Jacksonville  NC MSA ,52,52,4360,0,0,0,0,0,0,0,0,0,12,12,1437,0,0,0,0,0,0,0,0,0
9902,3610,9999,,Jamestown  NY MSA ,2,2,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,3620,9999,,Janesville-Beloit  WI MSA ,21,21,2171,2,4,330,0,0,0,0,0,0,21,21,2171,2,4,330,0,0,0,0,0,0
9902,3660,9999,,Johnson City-Kingsport-Bristol  TN-VA MSA ,87,87,8883,1,2,180,0,0,0,1,5,150,54,54,5513,1,2,180,0,0,0,0,0,0
9902,3680,9999,,Johnstown  PA MSA ,2,2,165,0,0,0,0,0,0,0,0,0,1,1,60,0,0,0,0,0,0,0,0,0
9902,3700,9999,,Jonesboro  AR MSA ,13,13,699,0,0,0,1,3,150,0,0,0,13,13,699,0,0,0,1,3,150,0,0,0
9902,3710,9999,,Joplin  MO MSA ,22,22,2210,0,0,0,1,4,140,0,0,0,22,22,2210,0,0,0,1,4,140,0,0,0
9902,3720,9999,,Kalamazoo-Battle Creek  MI MSA ,72,72,9018,0,0,0,0,0,0,2,15,758,32,32,3729,0,0,0,0,0,0,0,0,0
9902,3760,9999,,Kansas City  MO-KS MSA ,836,836,109078,31,62,4030,4,15,1013,18,133,5585,784,784,103052,30,60,3900,4,15,1013,17,128,5485
9902,3810,9999,,Killeen-Temple  TX MSA ,102,102,9606,1,2,127,2,8,313,0,0,0,102,102,9606,1,2,127,2,8,313,0,0,0
9902,3840,9999,,Knoxville  TN MSA ,254,254,25193,4,8,392,7,27,672,4,66,2284,189,189,21661,3,6,290,7,27,672,0,0,0
9902,3850,9999,,Kokomo  IN MSA ,10,10,1616,0,0,0,0,0,0,0,0,0,10,10,1616,0,0,0,0,0,0,0,0,0
