cbsa_code,date,unemployment_rate_sa,seasonal_adjustment_source,preliminary_flag,laus_source,raw_line_number
10180,2004-07-01,4.6,official BLS smoothed SA metro table,0,ssamatab1.txt,68702
10180,2004-08-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,69095
10180,2004-09-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,69488
10180,2004-10-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,69881
10180,2004-11-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,70274
10180,2004-12-01,4.6,official BLS smoothed SA metro table,0,ssamatab1.txt,70667
10180,2005-01-01,4.6,official BLS smoothed SA metro table,0,ssamatab1.txt,71060
10180,2005-02-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,71453
10180,2005-03-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,71846
10180,2005-04-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,72239
10180,2005-05-01,4.3,official BLS smoothed SA metro table,0,ssamatab1.txt,72632
10180,2005-06-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,73025
10180,2005-07-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,73418
10180,2005-08-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,73811
10180,2005-09-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,74204
10180,2005-10-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,74597
10180,2005-11-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,74990
10180,2005-12-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,75383
10180,2006-01-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,75776
10180,2006-02-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,76169
10180,2006-03-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,76562
10180,2006-04-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,76955
10180,2006-05-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,77348
10180,2006-06-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,77741
10180,2006-07-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,78134
10180,2006-08-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,78527
10180,2006-09-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,78920
10180,2006-10-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,79313
10180,2006-11-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,79706
10180,2006-12-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,80099
10180,2007-01-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,80492
10180,2007-02-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,80885
10180,2007-03-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,81278
10180,2007-04-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,81671
10180,2007-05-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,82064
10180,2007-06-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,82457
10180,2007-07-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,82850
10180,2007-08-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,83243
10180,2007-09-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,83636
10180,2007-10-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,84029
10180,2007-11-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,84422
10180,2007-12-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,84815
10180,2008-01-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,85208
10180,2008-02-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,85601
10180,2008-03-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,85994
10180,2008-04-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,86387
10180,2008-05-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,86780
10180,2008-06-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,87173
10180,2008-07-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,87566
10180,2008-08-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,87959
10180,2008-09-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,88352
10180,2008-10-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,88745
10180,2008-11-01,4.3,official BLS smoothed SA metro table,0,ssamatab1.txt,89138
10180,2008-12-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,89531
10180,2009-01-01,4.7,official BLS smoothed SA metro table,0,ssamatab1.txt,89924
10180,2009-02-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,90317
10180,2009-03-01,4.9,official BLS smoothed SA metro table,0,ssamatab1.txt,90710
10180,2009-04-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,91103
10180,2009-05-01,5.7,official BLS smoothed SA metro table,0,ssamatab1.txt,91496
10180,2009-06-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,91889
10180,2009-07-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,92282
10180,2009-08-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,92675
10180,2009-09-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,93068
10180,2009-10-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,93461
10180,2009-11-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,93854
10180,2009-12-01,6.4,official BLS smoothed SA metro table,0,ssamatab1.txt,94247
