Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200304,2082,1125,,Boulder-Longmont  CO PMSA ,155,155,28330,2,4,367,1,3,324,0,0,0,145,145,26189,2,4,367,0,0,0,0,0,0
200304,2082,2080,,Denver  CO PMSA ,1095,1095,191625,0,0,0,2,7,615,9,340,26330,1095,1095,191625,0,0,0,2,7,615,9,340,26330
200304,2082,3060,,Greeley  CO PMSA ,349,349,54709,2,4,559,0,0,0,0,0,0,349,349,54709,2,4,559,0,0,0,0,0,0
200304,2120,9999,,Des Moines  IA MSA ,325,325,48531,1,2,192,0,0,0,9,128,9318,325,325,48531,1,2,192,0,0,0,9,128,9318
200304,2162,0440,,Ann Arbor  MI PMSA ,466,466,72179,9,18,1336,0,0,0,4,48,2748,333,333,58009,8,16,1036,0,0,0,4,48,2748
200304,2162,2160,,Detroit  MI PMSA ,1333,1333,211807,9,18,1837,10,36,3306,18,159,11544,1029,1029,162956,5,10,959,8,29,2818,9,87,6139
200304,2162,2640,,Flint  MI PMSA ,197,197,27985,3,6,544,0,0,0,0,0,0,182,182,26030,3,6,544,0,0,0,0,0,0
200304,2180,9999,,Dothan  AL MSA ,26,26,2001,0,0,0,1,4,246,1,6,368,26,26,2001,0,0,0,1,4,246,1,6,368
200304,2190,9999,,Dover  DE MSA ,124,124,15217,0,0,0,0,0,0,0,0,0,122,122,15001,0,0,0,0,0,0,0,0,0
200304,2200,9999,,Dubuque  IA MSA ,33,33,5932,5,10,979,0,0,0,0,0,0,33,33,5932,5,10,979,0,0,0,0,0,0
200304,2240,9999,,Duluth-Superior  MN-WI MSA ,45,45,4805,1,2,267,0,0,0,0,0,0,31,31,2835,0,0,0,0,0,0,0,0,0
200304,2290,9999,,Eau Claire  WI MSA ,111,111,16236,1,2,400,2,8,620,0,0,0,109,109,16007,1,2,400,2,8,620,0,0,0
200304,2320,9999,,El Paso  TX MSA ,267,267,17066,1,2,70,26,100,4810,1,36,1705,267,267,17066,1,2,70,26,100,4810,1,36,1705
200304,2330,9999,,Elkhart-Goshen  IN MSA ,99,99,13869,0,0,0,1,3,164,1,5,150,95,95,13303,0,0,0,0,0,0,0,0,0
200304,2335,9999,,Elmira  NY MSA ,3,3,392,0,0,0,0,0,0,1,5,417,0,0,0,0,0,0,0,0,0,0,0,0
200304,2340,9999,,Enid  OK MSA ,4,4,693,0,0,0,0,0,0,0,0,0,4,4,693,0,0,0,0,0,0,0,0,0
200304,2360,9999,,Erie  PA MSA ,32,32,4413,0,0,0,1,3,236,0,0,0,31,31,4255,0,0,0,0,0,0,0,0,0
200304,2400,9999,,Eugene-Springfield  OR MSA ,115,115,20341,7,14,1456,3,11,828,0,0,0,89,89,17106,4,8,1016,3,11,828,0,0,0
200304,2440,9999,,Evansville-Henderson  IN-KY MSA ,155,155,19161,3,6,400,0,0,0,1,5,188,115,115,12818,2,4,215,0,0,0,0,0,0
200304,2520,9999,,Fargo-Moorhead  ND-MN MSA ,170,170,20270,0,0,0,2,8,740,5,96,3607,167,167,19542,0,0,0,2,8,740,5,96,3607
200304,2560,9999,,Fayetteville  NC MSA ,108,108,16380,0,0,0,0,0,0,1,12,991,108,108,16380,0,0,0,0,0,0,1,12,991
200304,2580,9999,,Fayetteville-Springdale-Rogers  AR MSA ,223,223,31411,18,36,2021,5,19,1117,55,623,25756,149,149,21314,17,34,1837,0,0,0,52,602,25010
200304,2620,9999,,Flagstaff  AZ-UT MSA ,80,80,11970,0,0,0,0,0,0,0,0,0,79,79,11872,0,0,0,0,0,0,0,0,0
200304,2650,9999,,Florence  AL MSA ,11,11,1340,1,2,87,0,0,0,9,68,3196,11,11,1340,1,2,87,0,0,0,9,68,3196
200304,2655,9999,,Florence  SC MSA ,45,45,6215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200304,2670,9999,,Fort Collins-Loveland  CO MSA ,238,238,34230,5,10,1256,2,7,579,4,30,2029,45,45,8850,4,8,1088,0,0,0,0,0,0
200304,2700,9999,,Fort Myers-Cape Coral  FL MSA ,767,767,109474,44,88,7924,22,88,10093,22,384,45955,767,767,109474,44,88,7924,22,88,10093,22,384,45955
200304,2710,9999,,Fort Pierce-Port St. Lucie  FL MSA ,594,594,90623,0,0,0,2,8,656,24,245,13135,590,590,90099,0,0,0,1,4,286,24,245,13135
200304,2720,9999,,Fort Smith  AR-OK MSA ,53,53,6763,0,0,0,0,0,0,0,0,0,39,39,5146,0,0,0,0,0,0,0,0,0
200304,2750,9999,,Fort Walton Beach  FL MSA ,153,153,24575,2,4,325,0,0,0,1,19,1852,63,63,7773,1,2,80,0,0,0,0,0,0
200304,2760,9999,,Fort Wayne  IN MSA ,265,265,43392,0,0,0,0,0,0,0,0,0,265,265,43392,0,0,0,0,0,0,0,0,0
200304,2840,9999,,Fresno  CA MSA ,479,479,81343,0,0,0,2,6,381,0,0,0,437,437,76966,0,0,0,2,6,381,0,0,0
200304,2880,9999,,Gadsden  AL MSA ,15,15,1617,0,0,0,0,0,0,0,0,0,15,15,1617,0,0,0,0,0,0,0,0,0
200304,2900,9999,,Gainesville  FL MSA ,105,105,11899,0,0,0,0,0,0,6,50,2610,23,23,1885,0,0,0,0,0,0,0,0,0
200304,2975,9999,,Glens Falls  NY MSA ,54,54,9438,0,0,0,1,4,164,1,5,92,23,23,3521,0,0,0,0,0,0,0,0,0
200304,2980,9999,,Goldsboro  NC MSA ,48,48,4923,0,0,0,0,0,0,0,0,0,48,48,4923,0,0,0,0,0,0,0,0,0
200304,2985,9999,,Grand Forks  ND-MN MSA ,8,8,1424,0,0,0,0,0,0,2,42,2010,8,8,1424,0,0,0,0,0,0,2,42,2010
200304,2995,9999,,Grand Junction  CO MSA ,141,141,17337,0,0,0,1,4,291,0,0,0,141,141,17337,0,0,0,1,4,291,0,0,0
200304,3000,9999,,Grand Rapids-Muskegon-Holland  MI MSA ,623,623,93862,6,12,768,1,3,270,9,127,3899,437,437,68115,2,4,322,0,0,0,4,88,2300
200304,3040,9999,,Great Falls  MT MSA ,8,8,1124,0,0,0,0,0,0,0,0,0,8,8,1124,0,0,0,0,0,0,0,0,0
200304,3080,9999,,Green Bay  WI MSA ,143,143,27415,4,8,679,1,3,410,12,363,15571,110,110,21568,0,0,0,1,3,410,10,340,14516
200304,3120,9999,,Greensboro--Winston-Salem--High Point  NC MSA ,752,752,103929,3,6,288,3,9,626,8,115,7431,711,711,100536,3,6,288,3,9,626,7,106,6483
200304,3150,9999,,Greenville  NC MSA ,116,116,10775,5,10,618,0,0,0,1,8,644,75,75,4901,4,8,448,0,0,0,1,8,644
200304,3160,9999,,Greenville-Spartanburg-Anderson  SC MSA ,636,636,65220,3,6,324,3,12,423,4,96,2820,630,630,64184,3,6,324,3,12,423,4,96,2820
200304,3240,9999,,Harrisburg-Lebanon-Carlisle  PA MSA ,196,196,21693,0,0,0,3,12,1200,0,0,0,177,177,19718,0,0,0,3,12,1200,0,0,0
200304,3280,9999,,Hartford  CT MSA ,313,313,46559,4,8,639,1,3,533,3,25,819,266,266,41554,2,4,469,1,3,533,0,0,0
200304,3285,9999,,Hattiesburg  MS MSA ,6,6,465,0,0,0,0,0,0,0,0,0,5,5,396,0,0,0,0,0,0,0,0,0
200304,3290,9999,,Hickory-Morganton-Lenoir  NC MSA ,143,143,20168,1,2,160,0,0,0,1,6,236,61,61,8862,0,0,0,0,0,0,0,0,0
200304,3320,9999,,Honolulu  HI MSA ,163,163,27064,2,4,396,0,0,0,0,0,0,163,163,27064,2,4,396,0,0,0,0,0,0
200304,3350,9999,,Houma  LA MSA ,74,74,7394,0,0,0,0,0,0,0,0,0,44,44,3583,0,0,0,0,0,0,0,0,0
200304,3362,1145,,Brazoria  TX PMSA ,296,296,47133,0,0,0,0,0,0,1,8,530,296,296,47133,0,0,0,0,0,0,1,8,530
200304,3362,2920,,Galveston-Texas City  TX PMSA ,242,242,30840,0,0,0,1,3,188,0,0,0,233,233,29979,0,0,0,0,0,0,0,0,0
200304,3362,3360,,Houston  TX PMSA ,3235,3235,392350,8,16,674,1,3,209,29,811,41115,3214,3214,389528,8,16,674,1,3,209,28,801,40895
200304,3400,9999,,Huntington-Ashland  WV-KY-OH MSA ,5,5,976,0,0,0,0,0,0,0,0,0,3,3,784,0,0,0,0,0,0,0,0,0
200304,3440,9999,,Huntsville  AL MSA ,100,100,6619,0,0,0,4,16,1265,12,72,4050,100,100,6619,0,0,0,4,16,1265,12,72,4050
200304,3480,9999,,Indianapolis  IN MSA ,1331,1331,207256,22,44,4446,4,14,817,7,88,5058,1190,1190,188156,19,38,3992,2,8,600,6,79,4590
200304,3500,9999,,Iowa City  IA MSA ,63,63,13321,3,6,820,0,0,0,0,0,0,63,63,13321,3,6,820,0,0,0,0,0,0
200304,3520,9999,,Jackson  MI MSA ,9,9,1712,2,4,514,0,0,0,1,8,742,8,8,1635,2,4,514,0,0,0,1,8,742
200304,3560,9999,,Jackson  MS MSA ,287,287,36490,0,0,0,0,0,0,4,44,1880,268,268,32298,0,0,0,0,0,0,0,0,0
200304,3580,9999,,Jackson  TN MSA ,65,65,6436,0,0,0,0,0,0,0,0,0,65,65,6436,0,0,0,0,0,0,0,0,0
200304,3600,9999,,Jacksonville  FL MSA ,1586,1586,226948,1,2,200,0,0,0,11,62,4927,1581,1581,226234,1,2,200,0,0,0,10,56,3965
200304,3605,9999,,Jacksonville  NC MSA ,84,84,8047,0,0,0,0,0,0,0,0,0,23,23,2933,0,0,0,0,0,0,0,0,0
200304,3610,9999,,Jamestown  NY MSA ,1,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200304,3620,9999,,Janesville-Beloit  WI MSA ,29,29,4110,1,2,225,3,11,615,1,5,175,28,28,4016,1,2,225,2,8,390,0,0,0
200304,3660,9999,,Johnson City-Kingsport-Bristol  TN-VA MSA ,119,119,12423,1,2,80,0,0,0,2,10,351,57,57,7257,1,2,80,0,0,0,0,0,0
200304,3680,9999,,Johnstown  PA MSA ,6,6,663,0,0,0,0,0,0,0,0,0,4,4,455,0,0,0,0,0,0,0,0,0
200304,3700,9999,,Jonesboro  AR MSA ,38,38,5005,2,4,158,0,0,0,0,0,0,38,38,5005,2,4,158,0,0,0,0,0,0
200304,3710,9999,,Joplin  MO MSA ,23,23,1822,0,0,0,0,0,0,0,0,0,23,23,1822,0,0,0,0,0,0,0,0,0
200304,3720,9999,,Kalamazoo-Battle Creek  MI MSA ,93,93,15507,4,8,1285,1,3,538,1,7,95,51,51,10439,4,8,1285,1,3,538,0,0,0
200304,3760,9999,,Kansas City  MO-KS MSA ,1032,1032,157014,9,18,1237,27,106,6268,2,123,8128,957,957,147044,6,12,763,27,106,6268,1,118,7953
200304,3810,9999,,Killeen-Temple  TX MSA ,121,121,14833,1,2,140,11,44,1806,0,0,0,121,121,14833,1,2,140,11,44,1806,0,0,0
200304,3840,9999,,Knoxville  TN MSA ,401,401,52318,4,8,460,0,0,0,1,8,380,394,394,51434,4,8,460,0,0,0,0,0,0
